using device 0 NVIDIA GeForce RTX 3090
DEVICE: cuda
client_num: 1
========== 开始训练 ==========
第一阶段：训练本地模型...
tensor(0.0557, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0039, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0559, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0040, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0553, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0039, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.4244, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0252, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.3532, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0230, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2966, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0251, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2443, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0219, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2049, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0221, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1754, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0220, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1477, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0194, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1267, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0194, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1133, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0184, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1039, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0185, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0958, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0168, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0928, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0156, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0902, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0156, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0855, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0152, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0837, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0139, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0875, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0132, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0859, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0126, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0882, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0117, device='cuda:0', grad_fn=<MeanBackward0>)
